Model,Precision,Recall,f1,Precision_WO_O,Recall_WO_O,F1_WO_O
Model1,0.8447882777686888,0.8719118206005321,0.8537782150028634,0.5162624952553269,0.36576168929110103,0.41900976842462656
Model2,0.855278198656881,0.8634232864563537,0.8560329586118091,0.4981073348659318,0.4577677224736048,0.4586137849499503
Model3,0.8728163045517504,0.8646902318510072,0.8630674028015597,0.53926251784365,0.4781297134238311,0.4748597995884733
Model4,0.8972931173139654,0.9058659571772456,0.9000697246388615,0.6389580587503156,0.5897435897435898,0.605892316264978
Model5,0.9174719513079425,0.9173951602685925,0.9150341827012831,0.6506228755804333,0.7043740573152338,0.6633698015794168
Model6,0.9213162160399598,0.9153680476371469,0.9116528844636927,0.677028432645459,0.6862745098039216,0.6419379784974311
Model7,0.9036007625800238,0.9077663752692259,0.9050850042333579,0.6501102674761434,0.6259426847662142,0.6345896251687857
Model8,0.9279083439240206,0.9158748257950082,0.919810324558534,0.6981570290041152,0.7058823529411765,0.6899599818701071
Model9,0.9219913751402282,0.9239832763207906,0.9205114262631233,0.7495371519759929,0.6546003016591252,0.6879259585664055
